,product_name,link, product_images,price,details,color,brand
119,PRINTED T-SHIRT,https://www.zara.com/in/en/printed-t-shirt-p00962322.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0962/322/615/2/w/448/0962322615_1_1_1.jpg?ts=1688718275344': 'Image 0 of PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0962/322/615/2/w/448/0962322615_2_1_1.jpg?ts=1688718276217': 'Image 1 of PRINTED T-SHIRT from Zara'}]",2290,Loose-fitting short sleeve T-shirt with a round neckline and a contrast print on the front.,pink,adidas
131,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p06224380.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/380/800/2/w/448/6224380800_1_1_1.jpg?ts=1690540908015': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/380/800/2/w/448/6224380800_2_1_1.jpg?ts=1690540908265': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]",2290,Round neck T-shirt with short sleeves. Contrast patch detail on the front. Contrast prints on the front and back.,black,nike
135,T-SHIRT WITH PRINTED GRAPHICS,https://www.zara.com/in/en/t-shirt-with-printed-graphics-p00679302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0679/302/710/2/w/448/0679302710_1_1_1.jpg?ts=1688564090229': 'Image 0 of T-SHIRT WITH PRINTED GRAPHICS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0679/302/710/2/w/448/0679302710_2_1_1.jpg?ts=1688564090386': 'Image 1 of T-SHIRT WITH PRINTED GRAPHICS from Zara'}]",2290,Loose-fitting T-shirt with a round neck and short sleeves. Contrast prints on the front and sleeve.,yellow,adidas
136,PRINTED SWEATSHIRT WITH SLOGAN,https://www.zara.com/in/en/printed-sweatshirt-with-slogan-p05644301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5644/301/403/2/w/448/5644301403_1_1_1.jpg?ts=1688546809649': 'Image 0 of PRINTED SWEATSHIRT WITH SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5644/301/403/2/w/448/5644301403_2_1_1.jpg?ts=1688546809535': 'Image 1 of PRINTED SWEATSHIRT WITH SLOGAN from Zara'}]",2990,Sweatshirt with a round neck and short sleeves. Featuring a contrast print on the front.,blue,zara
137,T-SHIRT WITH CONTRAST POCKET,https://www.zara.com/in/en/t-shirt-with-contrast-pocket-p03665302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3665/302/800/2/w/448/3665302800_1_1_1.jpg?ts=1688555875761': 'Image 0 of T-SHIRT WITH CONTRAST POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3665/302/800/2/w/448/3665302800_2_1_1.jpg?ts=1688555875671': 'Image 1 of T-SHIRT WITH CONTRAST POCKET from Zara'}]",2290,Loose-fitting T-shirt with a round neck and short sleeves. Flap patch pocket on the chest.,black,puma
138,SWEATSHIRT WITH PRINTED SLOGANS,https://www.zara.com/in/en/sweatshirt-with-printed-slogans-p06224342.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/342/712/2/w/448/6224342712_1_1_1.jpg?ts=1688546809912': 'Image 0 of SWEATSHIRT WITH PRINTED SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/342/712/2/w/448/6224342712_2_1_1.jpg?ts=1688546809984': 'Image 1 of SWEATSHIRT WITH PRINTED SLOGANS from Zara'}]",2990,Sweatshirt with a round neck and short sleeves. Contrast prints on the front and back.,yellow,nike
141,SLOGAN PATCH T-SHIRT,https://www.zara.com/in/en/slogan-patch-t-shirt-p06224397.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/397/800/2/w/448/6224397800_1_1_1.jpg?ts=1692361199325': 'Image 0 of SLOGAN PATCH T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/397/800/2/w/448/6224397800_2_1_1.jpg?ts=1692361199644': 'Image 1 of SLOGAN PATCH T-SHIRT from Zara'}]",2290,Loose-fitting T-shirt with a round neck and short sleeves. Patch with slogan printed on the chest.,black,adidas
142,PAPER PATCH SWEATSHIRT,https://www.zara.com/in/en/paper-patch-sweatshirt-p06224399.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/399/251/2/w/448/6224399251_1_1_1.jpg?ts=1692361198588': 'Image 0 of PAPER PATCH SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/399/251/2/w/448/6224399251_2_1_1.jpg?ts=1692361198701': 'Image 1 of PAPER PATCH SWEATSHIRT from Zara'}]",3290,Loose-fitting sweatshirt with a round neck and short sleeves. Patch on the front made of kraft paper with a printed slogan. Irregular finish with contrast topstitching detail.,white,zara
143,T-SHIRT WITH CONTRAST PATCH,https://www.zara.com/in/en/t-shirt-with-contrast-patch-p04092301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4092/301/800/2/w/448/4092301800_1_1_1.jpg?ts=1688552338130': 'Image 0 of T-SHIRT WITH CONTRAST PATCH from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4092/301/800/2/w/448/4092301800_2_1_1.jpg?ts=1688552338355': 'Image 1 of T-SHIRT WITH CONTRAST PATCH from Zara'}]",2290,T-shirt with a round neck and short sleeves. Featuring a contrast patch on the front.,black,puma
147,T-SHIRT WITH CONTRAST PATCH,https://www.zara.com/in/en/t-shirt-with-contrast-patch-p06224373.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/373/800/2/w/448/6224373800_1_1_1.jpg?ts=1690962643971': 'Image 0 of T-SHIRT WITH CONTRAST PATCH from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/373/800/2/w/448/6224373800_2_1_1.jpg?ts=1690962648319': 'Image 1 of T-SHIRT WITH CONTRAST PATCH from Zara'}]",2290,Oversize round neck T-shirt with short sleeves. Contrast patch and prints on the front and back.,black,nike
